상호명,업종,분류,행정동명,지번주소,경도,위도
통발구이촌,한식,돼지고기 구이/찜,봉곡동,경상남도 창원시 의창구 봉곡동 35-7,128.6508861,35.24320177
똘이네밥술&반찬,한식,백반/한정식,도계동,경상남도 창원시 의창구 도계동 396-11,128.6407981,35.25839932
포트리스신항점,한식,국수/칼국수,용원동,경상남도 창원시 진해구 용원동 1343-11,128.8146596,35.08714023
신춘향전창원상남,한식,백반/한정식,상남동,경상남도 창원시 성산구 상남동 18-2,128.6845801,35.22164341
꽃채움김밥,기타 간이,김밥/만두/분식,중앙동3가,경상남도 창원시 마산합포구 중앙동3가 3-73,128.5670639,35.19946294
쌍둥이숯불두마리치킨신항,기타 간이,치킨,용원동,경상남도 창원시 진해구 용원동 1124-5,128.820285,35.09804558
마산오동동할매아구찜,한식,해산물 구이/찜,오동동,경상남도 창원시 마산합포구 오동동 213-1,128.5785876,35.20617811
신항대반점,중식,중국집,용원동,경상남도 창원시 진해구 용원동 1172-13,128.8153569,35.10320791
아재짬뽕,중식,중국집,석전동,경상남도 창원시 마산회원구 석전동 223-17,128.5806931,35.2365639
투앤비,한식,백반/한정식,상남동,경상남도 창원시 성산구 상남동 11-7,128.6848943,35.22243488
삼가황토한우식당,한식,소고기 구이/찜,중성동,경상남도 창원시 마산합포구 중성동 77-3,128.5760535,35.20814628
물만난돼지,한식,돼지고기 구이/찜,상남동,경상남도 창원시 성산구 상남동 11-5,128.6853974,35.22217062
산수화,한식,백반/한정식,내서읍,경상남도 창원시 마산회원구 내서읍 중리 380-1,128.5203248,35.25107186
일식당.오구,일식,일식 회/초밥,상남동,경상남도 창원시 성산구 상남동 2-4,128.6864963,35.22351652
제주생선구이올래밥상창원,한식,해산물 구이/찜,용호동,경상남도 창원시 성산구 용호동 73-38,128.6810933,35.22897354
몽고정,한식,백반/한정식,가음정동,경상남도 창원시 성산구 가음정동 391-9,128.6849009,35.2088325
진미추어탕,한식,국/탕/찌개류,북면,경상남도 창원시 의창구 북면 신촌리 443-2,128.6091498,35.35405764
상남산수정,한식,백반/한정식,상남동,경상남도 창원시 성산구 상남동 31-8,128.6810575,35.21943679
아정원,한식,돼지고기 구이/찜,오동동,경상남도 창원시 마산합포구 오동동 318-1,128.5808537,35.20359821
